"to","from","UMAP1.from","UMAP2.from","module.from","kME.from","hub.from","UMAP1.to","UMAP2.to","module.to","kME.to","hub.to"
"AceA","DegV",4.81294969971493,2.24777846560629,"turquoise",0.105037930566181,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YncE",-5.70723815505192,0.195414533473568,"brown",0.118722860580541,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PykA2",-3.54035254065678,-2.84144301190226,"blue",0.217676045050738,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","GlyA",-0.913382361277792,2.77847318873556,"red",0.217560840019754,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","GRS1",-6.03890128676579,-0.767542833827419,"blue",0.122641140868561,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","NolL",-3.94293613974735,2.79957323298605,"brown",0.015440106899368,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG4627",0.784555715873984,0.55922465548666,"yellow",0.0191766203097191,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG4223",6.69737820084408,1.93352132067831,"turquoise",0.153559885310979,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","HgdB",-5.95523830001042,-3.14941425099222,"blue",0.497608808073802,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG3292",-5.91837878768131,-0.612224692843838,"blue",0.0930857360557153,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","MASE1",5.13584331925228,-2.99964732899515,"green",0.307144155438403,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","HemL",5.63502125199154,-4.10436577572672,"green",0.78256171920323,"hub",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","SodC",1.83342556412533,-1.41788167729227,"yellow",0.38384144799995,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","TolB",1.38868979866817,-0.680580126486702,"yellow",0.631539276398454,"hub",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","LytT",-2.30978818480656,4.11542110667379,"brown",0.0974404186495111,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PurD",1.54601959641292,-0.795042181752605,"yellow",0.28660146568574,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","BcsZ",-3.64087935034916,3.12045269236715,"brown",0.219473126542331,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG2604",1.00902394707516,-1.25827581658213,"yellow",0.142350211146968,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YliI",-5.2976183468549,-2.24045831932871,"blue",0.372841094029111,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG4803",7.8328953212054,0.768115093566494,"turquoise",0.338044700103558,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","ICP",-3.56612988059208,3.17898135409506,"brown",0.0385498959372649,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","CDC9",4.77051453049495,2.30367665515097,"turquoise",0.0632147780844345,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","HisA",5.23683885987118,1.82329373583944,"turquoise",0.0861772871167281,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FrwC",-4.58985324446842,-3.57165331616251,"blue",0.263578014121207,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG3975",7.02080254013851,0.709549834586697,"turquoise",0.132719971391118,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","TyrB",7.72204975540951,0.558703114844876,"turquoise",0.435649334447922,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FliI",-2.68832762782261,-2.36587412133066,"blue",0.133603274374833,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YciW",7.00179008896663,0.549110462524014,"turquoise",0.145733700446892,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","RpsD",0.623712581947592,3.44942789302023,"red",0.682675307267903,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FTR1",1.55807666237667,-1.35507763399927,"yellow",0.355284131316533,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","HisJ",4.5505171244891,-1.41555351986734,"yellow",0.172187329315983,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","GuaB",0.588257831886557,3.58871393427999,"turquoise",0.146583440652704,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","RpsQ",-0.243103521510813,2.03754167781027,"red",0.431170516274665,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FadB",-4.96780629698918,-3.27633471264688,"blue",0.311664047781203,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YsdA",6.80452970917537,1.84279494509848,"turquoise",0.115960529820634,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","RplQ",-3.88754053656742,2.76281433329733,"brown",0.0562669072320181,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","Tpd",-1.6162555391042,-1.84828157200663,"blue",0.399920753236731,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YveK",-1.60701860730335,-4.22060055508463,"blue",0.0304447384118434,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","BamE",7.02425674851253,-0.643946001671238,"green",0.0851523250832461,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","CopC",3.50093798096493,1.2390714190975,"turquoise",0.00736704057716811,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","WecC",4.89818338806942,-1.80863947644083,"green",0.202675677344384,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","CHASE1",4.88906578476742,-1.90680653824656,"green",0.304738514405812,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","Fbp",5.766352218941,-3.77347202076761,"green",0.174895687815341,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","ViuB",5.65278152878597,2.78442149386557,"turquoise",0.048065873143857,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FixB",-5.65994401518986,-2.57566077484934,"blue",0.730492851699551,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG3393",6.42554287369564,-0.0414813257679174,"turquoise",0.0918495729934968,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","AslA",-7.41603942458317,0.794020941115933,"brown",0.239213908122951,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","PtsN",-4.44396157805607,-3.59156698956339,"blue",0.23152905644308,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","GlcD",6.35479168351009,0.57762019858511,"turquoise",0.211547167656649,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","ZupT",-1.52290691678211,-4.19667906536905,"blue",0.0492135931012063,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","COG3979",-6.93399234358952,1.35543565974386,"brown",0.261786123350461,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","IlvC",3.24885086472347,1.96888094172628,"turquoise",0.348210917475129,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","MecR1",-8.44147439543888,0.736249019958096,"brown",0.402620914138914,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","YjiL",-3.27548046652958,-4.1834732986912,"blue",0.230819445137114,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","KpsS",7.35162643845394,1.46541195140036,"turquoise",0.240203574313642,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","FimA",-6.80181499068424,1.24448852763327,"brown",0.113925998513844,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","HemD",-2.0717837387769,4.33829717860373,"turquoise",0.188426714722704,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","LigB",6.43184093888119,1.96398453936728,"turquoise",0.0641501646060851,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","RecA",1.35226587708309,2.9525506995693,"turquoise",0.11760304220367,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","Tdh",-0.819505999430868,-4.76218480839579,"blue",0.122256389744802,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","GyrB",-1.21006115023777,3.27991991267355,"brown",0.0868770911533563,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","GalT2",-6.02531953398869,1.93815236315878,"brown",0.11776194382542,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
"AceA","AtoA",-5.86171861235783,-3.21673030629007,"blue",0.424077881668835,"other",7.2124290889056,-0.114608535908146,"turquoise",0.723668922913698,"hub"
