MDS1,MDS2,Sample,Group
-0.073753939033778,-0.12363085388676,HC1,HC
-0.157897392420201,-0.0611374014730984,HC2,HC
-0.146745987823214,0.0140708033907758,HC3,HC
-0.116723309724091,0.0682339278459132,HC4,HC
-0.0433809664918475,0.00500506798685852,HC5,HC
-0.0267587451735991,0.0165018260442996,HC6,HC
-0.131262702327727,-0.00599719245132803,HC7,HC
-0.0469769188489459,0.0764195341131348,HC8,HC
-0.00652228018089749,0.0498161015238331,Pd1,Pd
0.0858775296030905,0.0332179814412494,Pd2,Pd
0.0601526173221294,-0.00240907803423836,Pd3,Pd
0.122377024884323,-0.0315832892329133,Pd4,Pd
0.112526517429094,-0.00931630193817809,Pd5,Pd
0.11319209331104,0.0116894896174182,Pd6,Pd
0.148144272793516,0.00820534715712203,Pd7,Pd
0.10775218668111,-0.0490859621040887,Pd8,Pd
